,Bits,TrackID,Px,Py,Pz,Time,Length,ELoss,DetectorID,X,Y,Z,PdgCode,dist2Wire,StatNb,ViewNb,PlaneNb,LayerNb,StrawNb
1089,33554432.0,3.0,0.6670602560043335,-0.2068098932504654,7.573498249053955,232.2335968017578,0.8486849069595337,1.6200530126297963e-06,50012391.0,0.8969393968582153,-186.80255126953125,-1973.756591796875,13.0,0.030322121565242582,5,0,0,1,391
1090,33554432.0,3.0,0.14103904366493225,0.9500123858451843,49.510520935058594,383.951416015625,0.8367348909378052,3.6444321267481428e-06,10012209.0,-29.21744728088379,133.50999450683594,2582.2548828125,13.0,0.25005773281570487,1,0,0,1,209
1091,33554432.0,3.0,0.1585722714662552,-0.017445025965571404,1.4347546100616455,384.7181091308594,0.8721598386764526,2.8737063075823244e-06,10012096.0,129.32565307617188,332.8628845214844,2582.252685546875,-13.0,0.2229071804932885,1,0,0,1,96
1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1097,33554432.0,3.0,-0.9468220472335815,0.23931680619716644,17.561220169067383,232.0723114013672,0.8337404727935791,1.6286904838125338e-06,50002293.0,-43.315006256103516,-14.706485748291016,-1974.853515625,-13.0,0.11727503713787359,5,0,0,0,293
1098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1099,33554432.0,3.0,-0.3513747453689575,0.054343946278095245,1.2350578308105469,234.36453247070312,1.00687575340271,2.972913307530689e-06,50002228.0,-178.6866455078125,99.49520111083984,-1974.8524169921875,-13.0,0.38432853206655826,5,0,0,0,228
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1105,33554432.0,2.0,0.08773653954267502,-0.07652454823255539,2.421281099319458,410.7650146484375,0.8871275782585144,4.0678796722204424e-06,10012467.0,192.2846221923828,-320.1174621582031,2582.25634765625,13.0,0.20265157144248963,1,0,0,1,467
1106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1108,33554432.0,3.0,-0.6624284386634827,-0.203917995095253,13.96976375579834,232.19647216796875,0.5877315402030945,2.1937573819741374e-06,50002326.0,-15.887953758239746,-73.4290542602539,-1974.855712890625,-13.0,0.2431401616871027,5,0,0,0,326
1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1110,33554432.0,3.0,0.36457785964012146,0.5410230755805969,6.243161201477051,385.8070068359375,0.35767295956611633,5.760050498793134e-07,12002016.0,253.64697265625,451.72052001953125,2601.191162109375,13.0,0.4534945920703889,1,2,0,0,16
1111,33554432.0,3.0,0.1607976108789444,0.5476524829864502,5.875572681427002,384.76983642578125,0.8695521950721741,2.0328195660113124e-06,10002090.0,108.06817626953125,342.5396728515625,2581.129638671875,13.0,0.22060998443593346,1,0,0,0,90
1112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1114,33554432.0,3.0,-0.6755192279815674,-0.4718054234981537,39.0882568359375,231.95249938964844,0.9158990383148193,3.48224125445995e-06,50002315.0,77.76932525634766,-53.512969970703125,-1974.8480224609375,-13.0,0.28773756507601006,5,0,0,0,315
1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2000
1116,33554432.0,3.0,0.29819148778915405,0.3416404724121094,10.693869590759277,384.05621337890625,0.9557121396064758,2.483868456693017e-06,10012136.0,-40.31376647949219,262.1431579589844,2582.253173828125,-13.0,0.0968997076424084,1,0,0,1,136
